Evaluation_ID,Date,Agent,Team,Supervisor,Process,Evaluation_Score,Errors,Critical_Error,Customer_Satisfaction,Resolution_Time_Min,Status
100001,2026-04-13,Agent 060,Team C,Supervisor 5,Retention,96.1,1,No,4.0,5.0,Pass
100002,2026-06-29,Agent 009,Team C,Supervisor 2,Technical Support,87.3,1,No,3.9,7.3,Pass
100003,2026-04-03,Agent 052,Team B,Supervisor 2,Billing,85.5,0,No,3.5,8.5,Pass
100004,2026-01-15,Agent 092,Team A,Supervisor 4,General Inquiry,100.0,2,No,4.1,5.5,Pass
100005,2026-04-17,Agent 015,Team B,Supervisor 3,Retention,76.5,0,No,4.0,9.6,Fail
100006,2026-03-13,Agent 077,Team E,Supervisor 4,Technical Support,100.0,3,No,4.9,5.9,Pass
100007,2026-07-08,Agent 028,Team C,Supervisor 1,Retention,84.1,2,No,4.3,9.6,Fail
100008,2026-01-21,Agent 081,Team E,Supervisor 4,Verification,100.0,0,No,4.3,9.2,Pass
100009,2026-04-13,Agent 009,Team D,Supervisor 3,Verification,88.3,3,No,3.4,8.0,Pass
100010,2026-05-02,Agent 056,Team B,Supervisor 4,Retention,99.3,1,Yes,3.8,9.4,Pass
100011,2026-07-30,Agent 085,Team A,Supervisor 1,General Inquiry,90.8,2,No,4.6,7.2,Pass
100012,2026-08-03,Agent 094,Team C,Supervisor 3,Verification,86.9,1,No,4.0,7.1,Pass
100013,2026-03-16,Agent 075,Team E,Supervisor 1,General Inquiry,99.4,0,No,4.6,7.5,Pass
100014,2026-07-22,Agent 094,Team E,Supervisor 3,General Inquiry,88.0,2,No,4.5,8.6,Pass
100015,2026-03-29,Agent 036,Team D,Supervisor 3,Verification,80.1,0,No,3.3,8.4,Fail
100016,2026-04-27,Agent 056,Team D,Supervisor 3,Technical Support,95.1,2,No,4.2,12.1,Pass
100017,2026-04-10,Agent 089,Team C,Supervisor 1,Technical Support,97.7,3,No,4.9,8.6,Pass
100018,2026-04-14,Agent 071,Team A,Supervisor 1,Verification,98.8,1,No,4.6,7.5,Pass
100019,2026-06-01,Agent 020,Team B,Supervisor 1,Technical Support,89.8,0,No,3.9,14.9,Pass
100020,2026-05-11,Agent 055,Team C,Supervisor 3,General Inquiry,88.4,0,No,3.1,8.9,Pass
100021,2026-05-30,Agent 060,Team B,Supervisor 1,General Inquiry,88.3,2,No,4.4,9.1,Pass
100022,2026-02-22,Agent 035,Team D,Supervisor 2,Billing,81.2,1,No,4.1,3.5,Fail
100023,2026-01-02,Agent 074,Team B,Supervisor 2,Verification,95.8,2,No,4.2,7.9,Pass
100024,2026-03-29,Agent 099,Team A,Supervisor 4,Technical Support,95.5,1,No,4.4,9.7,Pass
100025,2026-08-24,Agent 001,Team D,Supervisor 4,Billing,93.3,0,No,4.7,9.2,Pass
100026,2026-06-07,Agent 078,Team D,Supervisor 5,Technical Support,93.2,0,No,3.7,8.5,Pass
100027,2026-02-07,Agent 045,Team B,Supervisor 3,Technical Support,82.7,0,No,4.1,6.3,Fail
100028,2026-05-10,Agent 069,Team E,Supervisor 2,Retention,100.0,0,No,4.1,7.5,Pass
100029,2026-07-11,Agent 040,Team C,Supervisor 5,Retention,92.8,1,No,3.9,8.1,Pass
100030,2026-07-07,Agent 038,Team D,Supervisor 3,Technical Support,98.8,1,No,4.1,10.5,Pass
100031,2026-01-21,Agent 098,Team E,Supervisor 1,Retention,92.1,1,No,4.3,7.9,Pass
100032,2026-06-10,Agent 024,Team A,Supervisor 3,Verification,100.0,2,No,4.3,10.0,Pass
100033,2026-07-23,Agent 004,Team E,Supervisor 1,General Inquiry,98.3,0,No,4.5,9.3,Pass
100034,2026-02-27,Agent 091,Team D,Supervisor 3,Technical Support,87.0,0,No,3.6,14.1,Pass
100035,2026-01-22,Agent 069,Team A,Supervisor 1,General Inquiry,87.1,2,No,4.3,3.1,Pass
100036,2026-08-24,Agent 013,Team D,Supervisor 1,Verification,96.0,0,No,4.1,8.7,Pass
100037,2026-03-30,Agent 021,Team E,Supervisor 3,Retention,93.3,4,No,4.2,8.6,Pass
100038,2026-02-18,Agent 032,Team D,Supervisor 2,Verification,80.5,1,No,4.7,7.5,Fail
100039,2026-08-07,Agent 038,Team D,Supervisor 5,Verification,86.4,0,No,3.7,9.7,Pass
100040,2026-02-28,Agent 095,Team A,Supervisor 1,Verification,88.8,3,No,5.0,9.3,Pass
100041,2026-06-19,Agent 032,Team A,Supervisor 5,General Inquiry,88.1,0,No,4.3,8.1,Pass
100042,2026-08-08,Agent 079,Team C,Supervisor 5,Technical Support,100.0,2,No,4.6,9.9,Pass
100043,2026-07-07,Agent 057,Team C,Supervisor 1,Retention,87.7,1,No,4.0,9.0,Pass
100044,2026-07-27,Agent 048,Team E,Supervisor 4,General Inquiry,91.3,0,No,4.8,14.0,Pass
100045,2026-01-15,Agent 030,Team C,Supervisor 5,General Inquiry,92.1,2,No,4.1,4.4,Pass
